movie_name,genres,percentage_ROI_gross_budget,gross,budget,average_rating,number_vote,primary_name,primary_profession,release_date,release_year,runtime_minutes,distributor,max_theatre_count
cop car,"crime,thriller",0,134552,5000000,6.05,13766.0,Jon Watts,"director,producer,writer",2015-08-07 00:00:00,2015,88.0,Focus Fea…,60
ricki and the flash,"comedy,drama,music",100,26839498,18000000,5.85,10702.0,Diablo Cody,"writer,producer,actress",2015-08-07 00:00:00,2015,101.0,Sony Pict…,"2,064"
the man from u.n.c.l.e.,"action,adventure,comedy",0,45445109,75000000,7.199999999999999,122065.0,Guy Ritchie,"director,producer,writer",2015-08-14 00:00:00,2015,116.0,Warner Bros.,"3,673"
straight outta compton,"biography,drama,history",500,161197785,28000000,7.800000000000001,83677.0,Andrea Berloff,"writer,actress,director",2015-08-14 00:00:00,2015,147.0,Universal,"3,142"
the boy,"drama,horror,thriller",300,35819556,10000000,5.5,2165.0,Clay McLeod Chapman,"writer,actor",2015-08-14 00:00:00,2015,105.0,STX Enter…,"2,671"
hitman: agent 47,"action,adventure,crime",0,22467450,35000000,5.65,41137.0,Morten Iversen,"producer,writer,actor",2015-08-21 00:00:00,2015,96.0,20th Cent…,"3,273"
american ultra,"action,comedy,sci-fi",0,14439985,28000000,6.05,39262.0,Max Landis,"writer,producer,actor",2015-08-21 00:00:00,2015,96.0,Lionsgate,"2,778"
sinister 2,"horror,mystery,thriller",200,27740955,10000000,5.55,21462.0,Scott Derrickson,"writer,director,producer",2015-08-21 00:00:00,2015,97.0,Focus Fea…,"2,799"
no escape,"action,thriller",500,27288872,5000000,6.8,35759.0,John Erick Dowdle,"director,writer,producer",2015-08-26 00:00:00,2015,103.0,Weinstein…,"3,415"
the diary of a teenage girl,"comedy,drama,romance",0,1477002,2000000,6.800000000000001,13731.0,Marielle Heller,"actress,director,writer",2015-08-28 00:00:00,2015,102.0,Sony Pict…,795
war room,drama,2200,67790117,3000000,7.0,5943.0,Stephen Kendrick,"writer,producer,actor",2015-08-28 00:00:00,2015,120.0,Sony Pict…,"1,945"
unsullied,"action,horror,thriller",0,510957,1500000,3.8,140.0,Simeon Rice,"producer,actor,writer",2015-08-28 00:00:00,2014,93.0,Indican P…,102
a walk in the woods,"adventure,biography,comedy",300,29499394,8000000,6.1,11217.0,Bill Bryson,writer,2015-09-02 00:00:00,2015,104.0,Broad Gre…,"2,158"
the transporter refueled,"action,adventure,crime",0,16029670,22000000,5.300000000000001,18518.0,Luc Besson,"writer,producer,director",2015-09-04 00:00:00,2015,96.0,EuropaCorp,"3,434"
the perfect guy,"crime,drama,horror",300,57027435,18000000,5.65,4604.0,Alan B. McElroy,"writer,producer,miscellaneous",2015-09-11 00:00:00,2015,100.0,Sony Pict…,"2,230"
90 minutes in heaven,drama,0,4816142,5000000,5.05,1584.0,Michael Polish,"director,writer,producer",2015-09-11 00:00:00,2015,121.0,Samuel Go…,899
sicario,"action,crime,drama",100,46889293,30000000,7.449999999999999,166511.0,Taylor Sheridan,"actor,writer,director",2015-09-18 00:00:00,2015,121.0,Lionsgate,"2,620"
everest,"action,adventure,biography",0,43482270,65000000,6.9,92003.0,Simon Beaufoy,"writer,producer,director",2015-09-18 00:00:00,2015,121.0,Universal,"3,009"
maze runner: the scorch trials,"action,sci-fi,thriller",100,81697192,61000000,6.449999999999999,103754.0,T.S. Nowlin,"writer,producer",2015-09-18 00:00:00,2015,131.0,20th Cent…,"3,792"
black mass,"biography,crime,drama",100,62575678,53000000,6.65,78933.0,Jez Butterworth,"writer,producer,actor",2015-09-18 00:00:00,2015,123.0,Warner Bros.,"3,188"
hotel transylvania 2,"animation,comedy,family",200,169700110,80000000,6.7,48044.0,Adam Sandler,"actor,producer,writer",2015-09-25 00:00:00,2015,89.0,Sony Pict…,"3,768"
